Test Case ID,Enabled,Description,email,password,text
login,0,Empty email and empty password,,,Enter your Email address and password correct
login,0,Empty email and correct password,,Password123,Enter your Email address and password correct
login,1,Existing email and empty password,student@gmail.com,,Enter your Email address and password correct
login,1,Non existing email and empty password ,creativelogodesigner@gmail.com,,Enter your Email address and password correct
login,1,Non existing email and password,creativelogodesigner@gmail.com,euyuyeuy,Enter your Email address and password correct
login,0,Existing email but the corresponding password in capital,student@gmail.com,PASSWORD123,Enter your Email address and password correct
login,0,Existing email and corresponding password both in capital,STUDENT@GMAIL.COM,PASSWORD123,Enter your Email address and password correct
login,1,Registered email in invalid format and correct password,creativelogodesigner124.gmail.com,Password@123 ,Enter your Email address and password correct
login,1,Existing email and incorrect password,student@gmail.com,euyuyeuy,Enter your Email address and password correct
login,1,Valid email and password with symbols,student@gmail.com ,Password###,Enter your Email address and password correct
login,1,Valid email and password with numbers,student@gmail.com ,Password333,Enter your Email address and password correct
login,1,Existing email and correct password,student,Password123,
